pattern	epoch_4_batch_3000_gen	freq_gen	model	epoch_4_batch_4000_gen	epoch_10_gen	epoch_4_batch_5000_gen	epoch_11_gen	epoch_12_gen	epoch_4_batch_6000_gen	epoch_13_gen	epoch_4_batch_7000_gen	epoch_14_gen	epoch_4_batch_8000_gen	epoch_15_gen	epoch_4_batch_9000_gen	epoch_16_gen	epoch_5_batch_0_gen	epoch_17_gen	epoch_18_gen	epoch_5_batch_10000_gen	epoch_19_gen	epoch_5_batch_1000_gen	epoch_1_batch_0_gen	epoch_5_batch_11000_gen	epoch_1_batch_10000_gen	epoch_5_batch_12000_gen	epoch_1_batch_1000_gen	epoch_5_batch_13000_gen	epoch_1_batch_11000_gen	epoch_1_batch_12000_gen	epoch_5_batch_14000_gen	epoch_1_batch_13000_gen	epoch_5_batch_15000_gen	epoch_1_batch_14000_gen	epoch_5_batch_16000_gen	epoch_1_batch_15000_gen	epoch_5_batch_17000_gen	epoch_1_batch_16000_gen	epoch_5_batch_18000_gen	epoch_1_batch_17000_gen	epoch_1_batch_18000_gen	epoch_5_batch_2000_gen	epoch_1_batch_2000_gen	epoch_5_batch_3000_gen	epoch_1_batch_3000_gen	epoch_5_batch_4000_gen	epoch_1_batch_4000_gen	epoch_5_batch_5000_gen	epoch_1_batch_5000_gen	epoch_5_batch_6000_gen	epoch_1_batch_6000_gen	epoch_5_batch_7000_gen	epoch_1_batch_7000_gen	epoch_1_batch_8000_gen	epoch_1_batch_9000_gen	epoch_20_gen	epoch_21_gen	epoch_22_gen	epoch_23_gen	epoch_24_gen	epoch_25_gen	epoch_26_gen	epoch_27_gen	epoch_28_gen	epoch_29_gen	epoch_2_batch_0_gen	epoch_2_batch_10000_gen	epoch_2_batch_1000_gen	epoch_2_batch_11000_gen	epoch_2_batch_12000_gen	epoch_2_batch_13000_gen	epoch_2_batch_14000_gen	epoch_2_batch_15000_gen	epoch_2_batch_16000_gen	epoch_2_batch_17000_gen	epoch_2_batch_18000_gen	epoch_2_batch_2000_gen	epoch_2_batch_3000_gen	epoch_2_batch_4000_gen	epoch_2_batch_5000_gen	epoch_2_batch_6000_gen	epoch_2_batch_7000_gen	epoch_2_batch_8000_gen	epoch_2_batch_9000_gen	epoch_30_gen	epoch_31_gen	epoch_32_gen	epoch_33_gen	epoch_34_gen	epoch_35_gen	epoch_36_gen	epoch_37_gen	epoch_38_gen	epoch_39_gen	epoch_3_batch_0_gen	epoch_3_batch_10000_gen	epoch_3_batch_1000_gen	epoch_3_batch_11000_gen	epoch_3_batch_12000_gen	epoch_3_batch_13000_gen	epoch_3_batch_14000_gen	epoch_3_batch_15000_gen	epoch_3_batch_16000_gen	epoch_3_batch_17000_gen	epoch_3_batch_18000_gen	epoch_3_batch_2000_gen	epoch_3_batch_3000_gen	epoch_3_batch_4000_gen	epoch_3_batch_5000_gen	epoch_3_batch_6000_gen	epoch_3_batch_7000_gen	epoch_3_batch_8000_gen	epoch_3_batch_9000_gen	epoch_40_gen	epoch_4_batch_0_gen	epoch_4_batch_10000_gen	epoch_4_batch_1000_gen	epoch_4_batch_11000_gen	epoch_4_batch_12000_gen	epoch_4_batch_13000_gen	epoch_4_batch_14000_gen	epoch_4_batch_15000_gen	epoch_4_batch_16000_gen	epoch_4_batch_17000_gen	epoch_4_batch_18000_gen	epoch_4_batch_2000_gen	epoch_5_batch_8000_gen	epoch_5_batch_9000_gen	epoch_6_gen	epoch_7_gen	epoch_8_gen	epoch_9_gen
	acc_gen	acc_gen		acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen	acc_gen
L__NOUN_VERB_VERB	72.44444444444444	30.22222222222222	freq																																																																																																																																	
R__VERB_NOUN_CCONJ_VERB	74.30555555555556	61.80555555555556	freq																																																																																																																																	
L__NOUN_VERB_VERB		30.22222222222222	freq	76.0																																																																																																																																
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq	71.52777777777777																																																																																																																																
L__NOUN_VERB_VERB		30.22222222222222	freq		73.33333333333333																																																																																																																															
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq		72.91666666666667																																																																																																																															
L__NOUN_VERB_VERB		30.22222222222222	freq			75.11111111111111																																																																																																																														
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq			74.30555555555556																																																																																																																														
L__NOUN_VERB_VERB		30.22222222222222	freq				74.66666666666667																																																																																																																													
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq				75.69444444444444																																																																																																																													
L__NOUN_VERB_VERB		30.22222222222222	freq					75.55555555555556																																																																																																																												
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq					74.30555555555556																																																																																																																												
L__NOUN_VERB_VERB		30.22222222222222	freq						75.11111111111111																																																																																																																											
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq						72.22222222222223																																																																																																																											
L__NOUN_VERB_VERB		30.22222222222222	freq							77.77777777777777																																																																																																																										
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq							74.30555555555556																																																																																																																										
L__NOUN_VERB_VERB		30.22222222222222	freq								75.11111111111111																																																																																																																									
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq								68.75																																																																																																																									
L__NOUN_VERB_VERB		30.22222222222222	freq									76.88888888888889																																																																																																																								
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq									73.61111111111111																																																																																																																								
L__NOUN_VERB_VERB		30.22222222222222	freq										73.33333333333333																																																																																																																							
