pattern	epoch_4_batch_3000_orig	freq_orig	model	epoch_4_batch_4000_orig	epoch_10_orig	epoch_4_batch_5000_orig	epoch_11_orig	epoch_12_orig	epoch_4_batch_6000_orig	epoch_13_orig	epoch_4_batch_7000_orig	epoch_14_orig	epoch_4_batch_8000_orig	epoch_15_orig	epoch_4_batch_9000_orig	epoch_16_orig	epoch_5_batch_0_orig	epoch_17_orig	epoch_18_orig	epoch_5_batch_10000_orig	epoch_19_orig	epoch_5_batch_1000_orig	epoch_1_batch_0_orig	epoch_5_batch_11000_orig	epoch_1_batch_10000_orig	epoch_5_batch_12000_orig	epoch_1_batch_1000_orig	epoch_5_batch_13000_orig	epoch_1_batch_11000_orig	epoch_1_batch_12000_orig	epoch_5_batch_14000_orig	epoch_1_batch_13000_orig	epoch_5_batch_15000_orig	epoch_1_batch_14000_orig	epoch_5_batch_16000_orig	epoch_1_batch_15000_orig	epoch_5_batch_17000_orig	epoch_1_batch_16000_orig	epoch_5_batch_18000_orig	epoch_1_batch_17000_orig	epoch_1_batch_18000_orig	epoch_5_batch_2000_orig	epoch_1_batch_2000_orig	epoch_5_batch_3000_orig	epoch_1_batch_3000_orig	epoch_5_batch_4000_orig	epoch_1_batch_4000_orig	epoch_5_batch_5000_orig	epoch_1_batch_5000_orig	epoch_5_batch_6000_orig	epoch_1_batch_6000_orig	epoch_5_batch_7000_orig	epoch_1_batch_7000_orig	epoch_1_batch_8000_orig	epoch_1_batch_9000_orig	epoch_20_orig	epoch_21_orig	epoch_22_orig	epoch_23_orig	epoch_24_orig	epoch_25_orig	epoch_26_orig	epoch_27_orig	epoch_28_orig	epoch_29_orig	epoch_2_batch_0_orig	epoch_2_batch_10000_orig	epoch_2_batch_1000_orig	epoch_2_batch_11000_orig	epoch_2_batch_12000_orig	epoch_2_batch_13000_orig	epoch_2_batch_14000_orig	epoch_2_batch_15000_orig	epoch_2_batch_16000_orig	epoch_2_batch_17000_orig	epoch_2_batch_18000_orig	epoch_2_batch_2000_orig	epoch_2_batch_3000_orig	epoch_2_batch_4000_orig	epoch_2_batch_5000_orig	epoch_2_batch_6000_orig	epoch_2_batch_7000_orig	epoch_2_batch_8000_orig	epoch_2_batch_9000_orig	epoch_30_orig	epoch_31_orig	epoch_32_orig	epoch_33_orig	epoch_34_orig	epoch_35_orig	epoch_36_orig	epoch_37_orig	epoch_38_orig	epoch_39_orig	epoch_3_batch_0_orig	epoch_3_batch_10000_orig	epoch_3_batch_1000_orig	epoch_3_batch_11000_orig	epoch_3_batch_12000_orig	epoch_3_batch_13000_orig	epoch_3_batch_14000_orig	epoch_3_batch_15000_orig	epoch_3_batch_16000_orig	epoch_3_batch_17000_orig	epoch_3_batch_18000_orig	epoch_3_batch_2000_orig	epoch_3_batch_3000_orig	epoch_3_batch_4000_orig	epoch_3_batch_5000_orig	epoch_3_batch_6000_orig	epoch_3_batch_7000_orig	epoch_3_batch_8000_orig	epoch_3_batch_9000_orig	epoch_40_orig	epoch_4_batch_0_orig	epoch_4_batch_10000_orig	epoch_4_batch_1000_orig	epoch_4_batch_11000_orig	epoch_4_batch_12000_orig	epoch_4_batch_13000_orig	epoch_4_batch_14000_orig	epoch_4_batch_15000_orig	epoch_4_batch_16000_orig	epoch_4_batch_17000_orig	epoch_4_batch_18000_orig	epoch_4_batch_2000_orig	epoch_5_batch_8000_orig	epoch_5_batch_9000_orig	epoch_6_orig	epoch_7_orig	epoch_8_orig	epoch_9_orig
	acc_orig	acc_orig		acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig	acc_orig
L__NOUN_VERB_VERB	72.0	64.0	freq																																																																																																																																	
R__VERB_NOUN_CCONJ_VERB	37.5	68.75	freq																																																																																																																																	
L__NOUN_VERB_VERB		64.0	freq	80.0																																																																																																																																
R__VERB_NOUN_CCONJ_VERB		68.75	freq	37.5																																																																																																																																
L__NOUN_VERB_VERB		64.0	freq		72.0																																																																																																																															
R__VERB_NOUN_CCONJ_VERB		68.75	freq		25.0																																																																																																																															
L__NOUN_VERB_VERB		64.0	freq			68.0																																																																																																																														
R__VERB_NOUN_CCONJ_VERB		68.75	freq			43.75																																																																																																																														
L__NOUN_VERB_VERB		64.0	freq				80.0																																																																																																																													
R__VERB_NOUN_CCONJ_VERB		68.75	freq				31.25																																																																																																																													
L__NOUN_VERB_VERB		64.0	freq					36.0																																																																																																																												
R__VERB_NOUN_CCONJ_VERB		68.75	freq					43.75																																																																																																																												
L__NOUN_VERB_VERB		64.0	freq						44.0																																																																																																																											
R__VERB_NOUN_CCONJ_VERB		68.75	freq						37.5																																																																																																																											
L__NOUN_VERB_VERB		64.0	freq							80.0																																																																																																																										
R__VERB_NOUN_CCONJ_VERB		68.75	freq							31.25																																																																																																																										
L__NOUN_VERB_VERB		64.0	freq								28.0																																																																																																																									
R__VERB_NOUN_CCONJ_VERB		68.75	freq								37.5																																																																																																																									
L__NOUN_VERB_VERB		64.0	freq									72.0																																																																																																																								
R__VERB_NOUN_CCONJ_VERB		68.75	freq									31.25																																																																																																																								
L__NOUN_VERB_VERB		64.0	freq										28.0																																																																																																																							
R__VERB_NOUN_CCONJ_VERB		68.75	freq										37.5																																																																																																																							
L__NOUN_VERB_VERB		64.0	freq											72.0																																																																																																																						
R__VERB_NOUN_CCONJ_VERB		68.75	freq											43.75																																																																																																																						
L__NOUN_VERB_VERB		64.0	freq												76.0																																																																																																																					
R__VERB_NOUN_CCONJ_VERB		68.75	freq												37.5																																																																																																																					
L__NOUN_VERB_VERB		64.0	freq													76.0																																																																																																																				
R__VERB_NOUN_CCONJ_VERB		68.75	freq													37.5																																																																																																																				
L__NOUN_VERB_VERB		64.0	freq														76.0																																																																																																																			
R__VERB_NOUN_CCONJ_VERB		68.75	freq														43.75																																																																																																																			
L__NOUN_VERB_VERB		64.0	freq															84.0																																																																																																																		
R__VERB_NOUN_CCONJ_VERB		68.75	freq															37.5																																																																																																																		
L__NOUN_VERB_VERB		64.0	freq																36.0																																																																																																																	
R__VERB_NOUN_CCONJ_VERB		68.75	freq																37.5																																																																																																																	
L__NOUN_VERB_VERB		64.0	freq																	76.0																																																																																																																
R__VERB_NOUN_CCONJ_VERB		68.75	freq																	37.5																																																																																																																
L__NOUN_VERB_VERB		64.0	freq																		76.0																																																																																																															
R__VERB_NOUN_CCONJ_VERB		68.75	freq																		31.25																																																																																																															
L__NOUN_VERB_VERB		64.0	freq																			76.0																																																																																																														
R__VERB_NOUN_CCONJ_VERB		68.75	freq																			43.75																																																																																																														
L__NOUN_VERB_VERB		64.0	freq																				64.0																																																																																																													
R__VERB_NOUN_CCONJ_VERB		68.75	freq																				56.25																																																																																																													
L__NOUN_VERB_VERB		64.0	freq																					80.0																																																																																																												
R__VERB_NOUN_CCONJ_VERB		68.75	freq																					37.5																																																																																																												
L__NOUN_VERB_VERB		64.0	freq																						32.0																																																																																																											
R__VERB_NOUN_CCONJ_VERB		68.75	freq																						62.5																																																																																																											
L__NOUN_VERB_VERB		64.0	freq																							76.0																																																																																																										
R__VERB_NOUN_CCONJ_VERB		68.75	freq																							43.75																																																																																																										
L__NOUN_VERB_VERB		64.0	freq																								40.0																																																																																																									
R__VERB_NOUN_CCONJ_VERB		68.75	freq																								81.25																																																																																																									
L__NOUN_VERB_VERB		64.0	freq																									80.0																																																																																																								
R__VERB_NOUN_CCONJ_VERB		68.75	freq																									37.5																																																																																																								
L__NOUN_VERB_VERB		64.0	freq																										28.0																																																																																																							
R__VERB_NOUN_CCONJ_VERB		68.75	freq																										43.75																																																																																																							
L__NOUN_VERB_VERB		64.0	freq																											28.0																																																																																																						
R__VERB_NOUN_CCONJ_VERB		68.75	freq																											43.75																																																																																																						
L__NOUN_VERB_VERB		64.0	freq																												72.0																																																																																																					
R__VERB_NOUN_CCONJ_VERB		68.75	freq																												43.75																																																																																																					
L__NOUN_VERB_VERB		64.0	freq																													32.0																																																																																																				
R__VERB_NOUN_CCONJ_VERB		68.75	freq																													50.0																																																																																																				
L__NOUN_VERB_VERB		64.0	freq																														48.0																																																																																																			
R__VERB_NOUN_CCONJ_VERB		68.75	freq																														37.5																																																																																																			
L__NOUN_VERB_VERB		64.0	freq																															32.0																																																																																																		
R__VERB_NOUN_CCONJ_VERB		68.75	freq																															37.5																																																																																																		
L__NOUN_VERB_VERB		64.0	freq																																36.0																																																																																																	
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																37.5																																																																																																	
L__NOUN_VERB_VERB		64.0	freq																																	28.0																																																																																																
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																	43.75																																																																																																
L__NOUN_VERB_VERB		64.0	freq																																		40.0																																																																																															
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																		31.25																																																																																															
L__NOUN_VERB_VERB		64.0	freq																																			28.0																																																																																														
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																			62.5																																																																																														
L__NOUN_VERB_VERB		64.0	freq																																				84.0																																																																																													
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																				31.25																																																																																													
L__NOUN_VERB_VERB		64.0	freq																																					28.0																																																																																												
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																					43.75																																																																																												
L__NOUN_VERB_VERB		64.0	freq																																						28.0																																																																																											
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																						43.75																																																																																											
L__NOUN_VERB_VERB		64.0	freq																																							76.0																																																																																										
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																							37.5																																																																																										
L__NOUN_VERB_VERB		64.0	freq																																								36.0																																																																																									
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																								62.5																																																																																									
L__NOUN_VERB_VERB		64.0	freq																																									76.0																																																																																								
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																									37.5																																																																																								
L__NOUN_VERB_VERB		64.0	freq																																										32.0																																																																																							
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																										56.25																																																																																							
L__NOUN_VERB_VERB		64.0	freq																																											80.0																																																																																						
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																											37.5																																																																																						
L__NOUN_VERB_VERB		64.0	freq																																												28.0																																																																																					
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																												56.25																																																																																					
L__NOUN_VERB_VERB		64.0	freq																																													76.0																																																																																				
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																													43.75																																																																																				
L__NOUN_VERB_VERB		64.0	freq																																														28.0																																																																																			
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																														62.5																																																																																			
L__NOUN_VERB_VERB		64.0	freq																																															76.0																																																																																		
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																															50.0																																																																																		
L__NOUN_VERB_VERB		64.0	freq																																																28.0																																																																																	
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																62.5																																																																																	
L__NOUN_VERB_VERB		64.0	freq																																																	40.0																																																																																
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																	37.5																																																																																
L__NOUN_VERB_VERB		64.0	freq																																																		28.0																																																																															
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																		62.5																																																																															
L__NOUN_VERB_VERB		64.0	freq																																																			28.0																																																																														
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																			62.5																																																																														
L__NOUN_VERB_VERB		64.0	freq																																																				28.0																																																																													
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																				62.5																																																																													
L__NOUN_VERB_VERB		64.0	freq																																																					76.0																																																																												
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																					31.25																																																																												
L__NOUN_VERB_VERB		64.0	freq																																																						80.0																																																																											
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																						31.25																																																																											
L__NOUN_VERB_VERB		64.0	freq																																																							76.0																																																																										
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																							25.0																																																																										
L__NOUN_VERB_VERB		64.0	freq																																																								80.0																																																																									
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																								43.75																																																																									
L__NOUN_VERB_VERB		64.0	freq																																																									80.0																																																																								
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																									25.0																																																																								
L__NOUN_VERB_VERB		64.0	freq																																																										84.0																																																																							
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																										31.25																																																																							
L__NOUN_VERB_VERB		64.0	freq																																																											80.0																																																																						
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																											31.25																																																																						
L__NOUN_VERB_VERB		64.0	freq																																																												80.0																																																																					
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																												31.25																																																																					
L__NOUN_VERB_VERB		64.0	freq																																																													80.0																																																																				
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																													25.0																																																																				
L__NOUN_VERB_VERB		64.0	freq																																																														72.0																																																																			
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																														31.25																																																																			
L__NOUN_VERB_VERB		64.0	freq																																																															28.0																																																																		
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																															62.5																																																																		
L__NOUN_VERB_VERB		64.0	freq																																																																72.0																																																																	
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																50.0																																																																	
L__NOUN_VERB_VERB		64.0	freq																																																																	28.0																																																																
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																	43.75																																																																
L__NOUN_VERB_VERB		64.0	freq																																																																		32.0																																																															
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																		50.0																																																															
L__NOUN_VERB_VERB		64.0	freq																																																																			68.0																																																														
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																			43.75																																																														
L__NOUN_VERB_VERB		64.0	freq																																																																				72.0																																																													
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																				50.0																																																													
L__NOUN_VERB_VERB		64.0	freq																																																																					72.0																																																												
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																					50.0																																																												
L__NOUN_VERB_VERB		64.0	freq																																																																						32.0																																																											
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																						37.5																																																											
L__NOUN_VERB_VERB		64.0	freq																																																																							32.0																																																										
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																							50.0																																																										
L__NOUN_VERB_VERB		64.0	freq																																																																								28.0																																																									
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																								50.0																																																									
L__NOUN_VERB_VERB		64.0	freq																																																																									28.0																																																								
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																									50.0																																																								
L__NOUN_VERB_VERB		64.0	freq																																																																										28.0																																																							
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																										43.75																																																							
L__NOUN_VERB_VERB		64.0	freq																																																																											28.0																																																						
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																											62.5																																																						
L__NOUN_VERB_VERB		64.0	freq																																																																												32.0																																																					
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																												50.0																																																					
L__NOUN_VERB_VERB		64.0	freq																																																																													40.0																																																				
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																													43.75																																																				
L__NOUN_VERB_VERB		64.0	freq																																																																														40.0																																																			
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																														43.75																																																			
L__NOUN_VERB_VERB		64.0	freq																																																																															32.0																																																		
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																															43.75																																																		
L__NOUN_VERB_VERB		64.0	freq																																																																																32.0																																																	
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																43.75																																																	
L__NOUN_VERB_VERB		64.0	freq																																																																																	72.0																																																
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																	50.0																																																
L__NOUN_VERB_VERB		64.0	freq																																																																																		72.0																																															
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																		25.0																																															
L__NOUN_VERB_VERB		64.0	freq																																																																																			80.0																																														
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																			37.5																																														
L__NOUN_VERB_VERB		64.0	freq																																																																																				80.0																																													
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																				25.0																																													
L__NOUN_VERB_VERB		64.0	freq																																																																																					80.0																																												
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																					31.25																																												
L__NOUN_VERB_VERB		64.0	freq																																																																																						36.0																																											
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																						37.5																																											
L__NOUN_VERB_VERB		64.0	freq																																																																																							76.0																																										
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																							25.0																																										
L__NOUN_VERB_VERB		64.0	freq																																																																																								76.0																																									
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																								18.75																																									
L__NOUN_VERB_VERB		64.0	freq																																																																																									76.0																																								
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																									25.0																																								
L__NOUN_VERB_VERB		64.0	freq																																																																																										80.0																																							
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																										25.0																																							
L__NOUN_VERB_VERB		64.0	freq																																																																																											72.0																																						
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																											37.5																																						
L__NOUN_VERB_VERB		64.0	freq																																																																																												32.0																																					
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																												50.0																																					
L__NOUN_VERB_VERB		64.0	freq																																																																																													80.0																																				
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																													31.25																																				
L__NOUN_VERB_VERB		64.0	freq																																																																																														68.0																																			
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																														50.0																																			
L__NOUN_VERB_VERB		64.0	freq																																																																																															76.0																																		
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																															43.75																																		
L__NOUN_VERB_VERB		64.0	freq																																																																																																68.0																																	
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																43.75																																	
L__NOUN_VERB_VERB		64.0	freq																																																																																																	80.0																																
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																	37.5																																
L__NOUN_VERB_VERB		64.0	freq																																																																																																		76.0																															
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																		43.75																															
L__NOUN_VERB_VERB		64.0	freq																																																																																																			80.0																														
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																			25.0																														
L__NOUN_VERB_VERB		64.0	freq																																																																																																				44.0																													
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																				43.75																													
L__NOUN_VERB_VERB		64.0	freq																																																																																																					40.0																												
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																					43.75																												
L__NOUN_VERB_VERB		64.0	freq																																																																																																						40.0																											
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																						43.75																											
L__NOUN_VERB_VERB		64.0	freq																																																																																																							68.0																										
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																							50.0																										
L__NOUN_VERB_VERB		64.0	freq																																																																																																								68.0																									
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																								50.0																									
L__NOUN_VERB_VERB		64.0	freq																																																																																																									72.0																								
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																									37.5																								
L__NOUN_VERB_VERB		64.0	freq																																																																																																										72.0																							
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																										37.5																							
L__NOUN_VERB_VERB		64.0	freq																																																																																																											76.0																						
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																											37.5																						
L__NOUN_VERB_VERB		64.0	freq																																																																																																												32.0																					
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																												50.0																					
L__NOUN_VERB_VERB		64.0	freq																																																																																																													64.0																				
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																													43.75																				
L__NOUN_VERB_VERB		64.0	freq																																																																																																														68.0																			
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																														37.5																			
L__NOUN_VERB_VERB		64.0	freq																																																																																																															36.0																		
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																															18.75																		
L__NOUN_VERB_VERB		64.0	freq																																																																																																																40.0																	
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																43.75																	
L__NOUN_VERB_VERB		64.0	freq																																																																																																																	72.0																
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																	37.5																
L__NOUN_VERB_VERB		64.0	freq																																																																																																																		76.0															
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																		37.5															
L__NOUN_VERB_VERB		64.0	freq																																																																																																																			80.0														
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																			43.75														
L__NOUN_VERB_VERB		64.0	freq																																																																																																																				76.0													
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																				37.5													
L__NOUN_VERB_VERB		64.0	freq																																																																																																																					72.0												
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																					43.75												
L__NOUN_VERB_VERB		64.0	freq																																																																																																																						76.0											
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																						37.5											
L__NOUN_VERB_VERB		64.0	freq																																																																																																																							80.0										
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																							43.75										
L__NOUN_VERB_VERB		64.0	freq																																																																																																																								36.0									
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																								43.75									
L__NOUN_VERB_VERB		64.0	freq																																																																																																																									80.0								
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																									37.5								
L__NOUN_VERB_VERB		64.0	freq																																																																																																																										76.0							
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																										43.75							
L__NOUN_VERB_VERB		64.0	freq																																																																																																																											72.0						
R__VERB_NOUN_CCONJ_VERB		68.75	freq																																																																																																																											37.5						
L__NOUN_VERB_VERB		64.0	freq																																																																																																																												40.0					
